date,1. open,2. high,3. low,4. close,5. volume
2020-04-28 11:40:00,171.47,171.626,171.35,171.5692,65591.0
2020-04-28 11:41:00,171.57,171.6,171.47,171.54,38349.0
2020-04-28 11:42:00,171.5203,171.64,171.4628,171.59,25848.0
2020-04-28 11:43:00,171.6,171.62,171.475,171.52,44021.0
2020-04-28 11:44:00,171.52,171.52,171.33,171.35,61989.0
2020-04-28 11:45:00,171.355,171.4,171.25,171.39,50130.0
2020-04-28 11:46:00,171.4,171.6,171.397,171.585,39447.0
2020-04-28 11:47:00,171.575,171.59,171.45,171.54,42384.0
2020-04-28 11:48:00,171.541,171.6,171.49,171.58,30591.0
2020-04-28 11:49:00,171.58,171.6,171.39,171.5,50539.0
2020-04-28 11:50:00,171.47,171.541,171.3168,171.32,28622.0
2020-04-28 11:51:00,171.32,171.43,171.07,171.07,53143.0
2020-04-28 11:52:00,171.08,171.1614,170.93,171.01,86430.0
2020-04-28 11:53:00,170.9906,171.12,170.99,171.0768,33056.0
2020-04-28 11:54:00,171.08,171.19,171.0799,171.16,34220.0
2020-04-28 11:55:00,171.17,171.1712,171.0758,171.1,42284.0
2020-04-28 11:56:00,171.11,171.34,171.0801,171.3,42335.0
2020-04-28 11:57:00,171.27,171.27,171.13,171.18,38914.0
2020-04-28 11:58:00,171.13,171.16,171.0,171.13,42749.0
2020-04-28 11:59:00,171.14,171.175,171.03,171.0314,27907.0
2020-04-28 12:00:00,171.04,171.11,171.0,171.105,23575.0
2020-04-28 12:01:00,171.11,171.16,171.02,171.09,42131.0
2020-04-28 12:02:00,171.08,171.099,170.9301,170.95,58801.0
2020-04-28 12:03:00,170.93,170.93,170.66,170.6663,60138.0
2020-04-28 12:04:00,170.67,170.8,170.66,170.76,43097.0
2020-04-28 12:05:00,170.78,170.91,170.713,170.86,32521.0
2020-04-28 12:06:00,170.85,170.99,170.84,170.93,42820.0
2020-04-28 12:07:00,170.9246,170.935,170.85,170.92,40048.0
2020-04-28 12:08:00,170.92,171.15,170.92,171.14,49805.0
2020-04-28 12:09:00,171.1471,171.15,171.04,171.09,34946.0
2020-04-28 12:10:00,171.085,171.18,171.08,171.1698,42725.0
2020-04-28 12:11:00,171.17,171.19,171.13,171.18,64763.0
2020-04-28 12:12:00,171.16,171.185,171.11,171.16,55658.0
2020-04-28 12:13:00,171.17,171.17,170.898,170.94,56285.0
2020-04-28 12:14:00,170.925,171.0,170.89,170.92,39951.0
2020-04-28 12:15:00,170.92,170.92,170.82,170.84,44294.0
2020-04-28 12:16:00,170.85,170.85,170.47,170.48,123403.0
2020-04-28 12:17:00,170.4799,170.69,170.46,170.68,58412.0
2020-04-28 12:18:00,170.67,170.6796,170.3031,170.42,86818.0
2020-04-28 12:19:00,170.4,170.4699,170.17,170.18,76924.0
2020-04-28 12:20:00,170.19,170.36,170.19,170.3209,39732.0
2020-04-28 12:21:00,170.345,170.515,170.33,170.49,44296.0
2020-04-28 12:22:00,170.5,170.705,170.4,170.65,46914.0
2020-04-28 12:23:00,170.655,170.7,170.55,170.595,51963.0
2020-04-28 12:24:00,170.59,170.62,170.44,170.54,43792.0
2020-04-28 12:25:00,170.5,170.6,170.5,170.57,30052.0
2020-04-28 12:26:00,170.59,170.64,170.5,170.64,44621.0
2020-04-28 12:27:00,170.62,170.73,170.59,170.5901,51508.0
2020-04-28 12:28:00,170.6,170.735,170.59,170.67,33697.0
2020-04-28 12:29:00,170.6677,170.73,170.62,170.69,32102.0
2020-04-28 12:30:00,170.665,170.81,170.63,170.77,30954.0
2020-04-28 12:31:00,170.78,170.79,170.61,170.67,34704.0
2020-04-28 12:32:00,170.68,170.75,170.63,170.65,24215.0
2020-04-28 12:33:00,170.63,170.79,170.59,170.78,56564.0
2020-04-28 12:34:00,170.76,170.91,170.74,170.84,39398.0
2020-04-28 12:35:00,170.859,171.03,170.81,171.03,48350.0
2020-04-28 12:36:00,171.02,171.07,170.95,171.04,46157.0
2020-04-28 12:37:00,171.02,171.1,170.9862,171.09,41888.0
2020-04-28 12:38:00,171.09,171.09,170.9556,171.03,43672.0
2020-04-28 12:39:00,171.03,171.15,171.03,171.1301,36611.0
2020-04-28 12:40:00,171.15,171.2,171.01,171.015,30262.0
2020-04-28 12:41:00,171.02,171.1165,170.99,171.1165,34311.0
2020-04-28 12:42:00,171.11,171.16,171.05,171.105,32431.0
2020-04-28 12:43:00,171.0987,171.1,170.93,170.96,35286.0
2020-04-28 12:44:00,170.96,171.115,170.96,171.07,24096.0
2020-04-28 12:45:00,171.07,171.11,171.015,171.043,29256.0
2020-04-28 12:46:00,171.04,171.05,170.9786,171.0,37893.0
2020-04-28 12:47:00,171.01,171.035,170.88,170.89,32169.0
2020-04-28 12:48:00,170.8899,171.01,170.8899,171.01,18980.0
2020-04-28 12:49:00,171.02,171.09,170.98,171.08,19105.0
2020-04-28 12:50:00,171.05,171.205,171.04,171.16,38313.0
2020-04-28 12:51:00,171.14,171.27,171.0896,171.15,33681.0
2020-04-28 12:52:00,171.14,171.175,171.02,171.11,49675.0
2020-04-28 12:53:00,171.11,171.185,171.09,171.1065,26371.0
2020-04-28 12:54:00,171.11,171.12,171.0,171.02,32406.0
2020-04-28 12:55:00,171.025,171.1,170.94,170.95,53156.0
2020-04-28 12:56:00,170.94,171.24,170.9332,171.22,36491.0
2020-04-28 12:57:00,171.225,171.29,171.15,171.29,47779.0
2020-04-28 12:58:00,171.29,171.3,171.21,171.25,41455.0
2020-04-28 12:59:00,171.2513,171.29,171.23,171.27,94182.0
2020-04-28 13:00:00,171.27,171.27,171.21,171.25,29959.0
2020-04-28 13:01:00,171.245,171.3397,171.2214,171.28,28993.0
2020-04-28 13:02:00,171.27,171.5,171.26,171.485,53449.0
2020-04-28 13:03:00,171.485,171.5833,171.42,171.44,63876.0
2020-04-28 13:04:00,171.43,171.46,171.37,171.42,28628.0
2020-04-28 13:05:00,171.41,171.48,171.38,171.39,23292.0
2020-04-28 13:06:00,171.3848,171.45,171.32,171.395,47033.0
2020-04-28 13:07:00,171.39,171.46,171.32,171.455,35518.0
2020-04-28 13:08:00,171.45,171.48,171.36,171.4128,47458.0
2020-04-28 13:09:00,171.42,171.5499,171.42,171.53,35637.0
2020-04-28 13:10:00,171.54,171.57,171.45,171.49,73997.0
